Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
68530,COOP CITY.HRP.FY20,16,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,153,207,207
68530,COOP CITY.HRP.FY20,18,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,163,207,207
68530,COOP CITY.HRP.FY20,23,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,32,32
68530,COOP CITY.HRP.FY20,22,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,32,32,32
68530,COOP CITY.HRP.FY20,15,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,162,207,207
68530,COOP CITY.HRP.FY20,2,BROUN PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,36,36
68530,COOP CITY.HRP.FY20,2A,COOPER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,38,38
68530,COOP CITY.HRP.FY20,2,DEFOE PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,26,26
68530,COOP CITY.HRP.FY20,2A,ASCH LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,18,18
68530,COOP CITY.HRP.FY20,2A,DEBS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,34,34
68530,COOP CITY.HRP.FY20,1A,DEBS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,34,34,34
68530,COOP CITY.HRP.FY20,120,ASCH LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,105,150,150
68530,COOP CITY.HRP.FY20,140,ASCH LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,114,175,175
68530,COOP CITY.HRP.FY20,120,BELLAMY LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,104,150,150
68530,COOP CITY.HRP.FY20,140,BELLAMY LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,117,175,175
68530,COOP CITY.HRP.FY20,120,CO OP CITY BOULEVARD,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,151,207,207
68530,COOP CITY.HRP.FY20,120,ALDRICH STREET,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,164,207,207
68530,COOP CITY.HRP.FY20,620,BAYCHESTER AVENUE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,156,207,207
